inject_ratio,3-0-0,0-3-0,0-0-3,2-1-0,1-2-0,0-2-1,0-1-2,2-0-1,1-0-2,1-1-1
3-0-0,0.3968,0.3988,0.4156,0.2799,0.3592,0.3689,0.3263,0.3792,0.3587,0.311
0-3-0,0.6126,0.1145,0.5758,0.1845,0.1958,0.1324,0.198,0.58,0.5367,0.1856
0-0-3,0.6094,0.2313,0.5837,0.2562,0.2979,0.2428,0.303,0.5853,0.5468,0.2783
2-1-0,0.5127,0.1241,0.4948,0.1139,0.152,0.1169,0.1378,0.4794,0.4353,0.1237
1-2-0,0.6048,0.0892,0.5654,0.1556,0.1632,0.1035,0.1611,0.5687,0.5225,0.1519
0-2-1,0.6128,0.1504,0.5779,0.2013,0.2284,0.1665,0.2343,0.5823,0.5395,0.2133
0-1-2,0.6144,0.194,0.5834,0.2308,0.2686,0.2088,0.2773,0.5879,0.5469,0.2511
2-0-1,0.4677,0.2627,0.4656,0.1937,0.2612,0.2446,0.238,0.4395,0.4048,0.2188
1-0-2,0.5677,0.2057,0.5475,0.2047,0.251,0.2068,0.2459,0.5386,0.498,0.2234
1-1-1,0.5909,0.1325,0.5574,0.1678,0.1971,0.1417,0.1966,0.5586,0.5125,0.1781
