inject_ratio,3-0-0,0-3-0,0-0-3,2-1-0,1-2-0,0-2-1,0-1-2,2-0-1,1-0-2,1-1-1
3-0-0,0.2362,0.3118,0.4926,0.3011,0.3065,0.3713,0.4513,0.3165,0.4101,0.3723
0-3-0,0.433,0.4461,0.6764,0.5735,0.5143,0.528,0.5373,0.6129,0.6526,0.5365
0-0-3,0.4548,0.4143,0.1866,0.422,0.4156,0.2784,0.1549,0.2439,0.1851,0.2028
2-1-0,0.2191,0.2235,0.4731,0.2701,0.2447,0.2872,0.3663,0.2963,0.3913,0.2933
1-2-0,0.3579,0.3415,0.5988,0.4681,0.4056,0.4182,0.4466,0.505,0.5581,0.4309
0-2-1,0.3962,0.4093,0.6046,0.5264,0.4718,0.462,0.4649,0.5351,0.5748,0.4624
0-1-2,0.3606,0.3369,0.312,0.4139,0.376,0.2752,0.2002,0.2988,0.2897,0.2278
2-0-1,0.2871,0.2801,0.333,0.274,0.2753,0.2539,0.2827,0.2103,0.2633,0.2285
1-0-2,0.3734,0.3341,0.2126,0.3342,0.3312,0.2341,0.173,0.1953,0.1786,0.1751
1-1-1,0.2873,0.2566,0.3567,0.3226,0.2885,0.2379,0.2365,0.2652,0.3059,0.2151
