inject_ratio,3-0-0,0-3-0,0-0-3,2-1-0,1-2-0,0-2-1,0-1-2,2-0-1,1-0-2,1-1-1
3-0-0,0.6353,0.6642,0.6705,0.605,0.6565,0.6567,0.6428,0.5933,0.5758,0.572
0-3-0,0.6894,0.6779,0.6849,0.6781,0.6738,0.6729,0.6687,0.6788,0.6732,0.6472
0-0-3,0.6892,0.6844,0.5846,0.6807,0.6812,0.6793,0.6486,0.6724,0.6324,0.657
2-1-0,0.6398,0.6478,0.6663,0.6113,0.6437,0.6412,0.6259,0.5985,0.5784,0.5579
1-2-0,0.6619,0.6417,0.672,0.6388,0.6394,0.636,0.6267,0.632,0.6162,0.5757
0-2-1,0.6799,0.658,0.6681,0.6585,0.6525,0.6497,0.64,0.6548,0.6383,0.6031
0-1-2,0.6826,0.6715,0.5701,0.6654,0.6663,0.6631,0.6286,0.6556,0.6083,0.6226
2-0-1,0.6383,0.6569,0.6596,0.605,0.649,0.6483,0.6319,0.591,0.5645,0.5588
1-0-2,0.6737,0.6684,0.5422,0.6504,0.6621,0.6595,0.6179,0.6366,0.5731,0.6014
1-1-1,0.6529,0.6401,0.6571,0.6255,0.6367,0.6327,0.618,0.6134,0.5862,0.5597
